"day_cut","sentiment","year","day","app"
2017-07-09,0.05,2017,9,"2"
2017-07-10,0.13,2017,10,"2"
2017-07-11,0.16,2017,11,"2"
2017-07-12,0.4,2017,12,"2"
2017-07-13,0.18,2017,13,"2"
2017-07-14,0.34,2017,14,"2"
2017-07-15,0.05,2017,15,"2"
2017-07-16,0.27,2017,16,"2"
2017-07-17,0.33,2017,17,"2"
2017-07-18,0.18,2017,18,"2"
2017-07-19,0.25,2017,19,"2"
2017-07-20,-0.09,2017,20,"2"
2017-07-21,0.29,2017,21,"2"
2017-07-22,-0.02,2017,22,"2"
2017-07-23,0.19,2017,23,"2"
2017-07-24,0.37,2017,24,"2"
2017-07-25,0.01,2017,25,"2"
2017-07-26,-0.03,2017,26,"2"
2017-07-27,0.22,2017,27,"2"
2017-07-28,0.36,2017,28,"2"
2017-07-29,0.49,2017,29,"2"
2017-07-30,0.29,2017,30,"2"
2017-07-31,0.13,2017,31,"2"
2017-08-01,0.23,2017,1,"2"
2017-08-02,0.52,2017,2,"2"
2017-08-03,0.13,2017,3,"2"
2017-08-04,0.32,2017,4,"2"
2017-08-05,0.16,2017,5,"2"
2017-08-06,0.1,2017,6,"2"
2017-08-07,0.23,2017,7,"2"
2017-08-08,0.22,2017,8,"2"
2017-08-09,0.36,2017,9,"2"
2017-08-10,0.32,2017,10,"2"
2017-08-11,0.2,2017,11,"2"
2017-08-12,0.01,2017,12,"2"
2017-08-13,0.14,2017,13,"2"
2017-08-14,0.28,2017,14,"2"
2017-08-15,0.16,2017,15,"2"
2017-08-16,0.12,2017,16,"2"
2017-08-17,0.08,2017,17,"2"
2017-08-18,0.29,2017,18,"2"
2017-08-19,0.34,2017,19,"2"
2017-08-20,0.28,2017,20,"2"
2017-08-21,0.24,2017,21,"2"
2017-08-22,0.14,2017,22,"2"
2017-08-23,0.32,2017,23,"2"
2017-08-24,0.17,2017,24,"2"
2017-08-25,0.03,2017,25,"2"
2017-08-26,0.4,2017,26,"2"
2017-08-27,0.37,2017,27,"2"
2017-08-28,0.04,2017,28,"2"
